,Script,Execution Result on Clean Data,Execution Result on Corrupted Data,Model,Strategy,Passed Constraints (Clean),Passed Constraints (Corrupted),Failed Constraints (Clean),Failed Constraints (Corrupted)
0,regression_0,856952153.015776,856985691.2115973,deequ,None,27,27,0,0
1,regression_0,856952153.015776,856985691.2115973,deequ,column_skipped,27,27,0,0
2,regression_0,856952153.015776,856985691.2115973,gpt-4o,None,6,6,0,0
3,regression_0,856952153.015776,856985691.2115973,gpt-4o,with_deequ,4,4,0,0
4,regression_0,856952153.015776,856985691.2115973,gpt-4o,with_experience,5,5,0,0
5,regression_1,818632445.7334665,844416907.57366,deequ,None,27,27,0,0
6,regression_1,818632445.7334665,844416907.57366,deequ,column_skipped,27,27,0,0
7,regression_1,818632445.7334665,844416907.57366,gpt-4o,None,4,4,1,1
8,regression_1,818632445.7334665,844416907.57366,gpt-4o,with_deequ,14,14,0,0
9,regression_1,818632445.7334665,844416907.57366,gpt-4o,with_experience,18,18,0,0
10,regression_2,488052510.6043591,591037496.221265,deequ,None,27,27,0,0
11,regression_2,488052510.6043591,591037496.221265,deequ,column_skipped,27,27,0,0
12,regression_2,488052510.6043591,591037496.221265,gpt-4o,None,5,5,1,1
13,regression_2,488052510.6043591,591037496.221265,gpt-4o,with_deequ,3,3,0,0
14,regression_2,488052510.6043591,591037496.221265,gpt-4o,with_experience,2,2,0,0
15,regression_3,207345397.87295786,204953766.5604507,deequ,None,27,27,0,0
16,regression_3,207345397.87295786,204953766.5604507,deequ,column_skipped,27,27,0,0
17,regression_3,207345397.87295786,204953766.5604507,gpt-4o,None,2,2,0,0
18,regression_3,207345397.87295786,204953766.5604507,gpt-4o,with_deequ,19,19,1,1
19,regression_3,207345397.87295786,204953766.5604507,gpt-4o,with_experience,17,17,0,0
20,regression_4,856902415.7379313,856920133.7218235,deequ,None,27,27,0,0
21,regression_4,856902415.7379313,856920133.7218235,deequ,column_skipped,27,27,0,0
22,regression_4,856902415.7379313,856920133.7218235,gpt-4o,None,2,2,0,0
23,regression_4,856902415.7379313,856920133.7218235,gpt-4o,with_deequ,11,11,0,0
24,regression_4,856902415.7379313,856920133.7218235,gpt-4o,with_experience,2,2,0,0
