,Script,Execution Result on Clean Data,Execution Result on Corrupted Data,Model,Strategy,Passed Constraints (Clean),Passed Constraints (Corrupted),Failed Constraints (Clean),Failed Constraints (Corrupted)
0,regression_0,1047820131.668428,1047820131.668428,deequ,None,31.0,31.0,1.0,1.0
1,regression_0,1047820131.668428,1047820131.668428,deequ,column_skipped,28.0,28.0,0.0,0.0
2,regression_0,1047820131.668428,1047820131.668428,gpt-4o,None,7.0,7.0,0.0,0.0
3,regression_0,1047820131.668428,1047820131.668428,gpt-4o,with_deequ,15.0,15.0,0.0,0.0
4,regression_0,1047820131.668428,1047820131.668428,gpt-4o,with_experience,14.0,14.0,0.0,0.0
5,regression_0,1047820131.668428,1047820131.668428,tfdv,None,,,1.0,2.0
6,regression_1,640914648.3941402,653618301.6865532,deequ,None,31.0,31.0,1.0,1.0
7,regression_1,640914648.3941402,653618301.6865532,deequ,column_skipped,28.0,28.0,0.0,0.0
8,regression_1,640914648.3941402,653618301.6865532,gpt-4o,None,7.0,7.0,0.0,0.0
9,regression_1,640914648.3941402,653618301.6865532,gpt-4o,with_deequ,19.0,19.0,0.0,0.0
10,regression_1,640914648.3941402,653618301.6865532,gpt-4o,with_experience,24.0,24.0,0.0,0.0
11,regression_1,640914648.3941402,653618301.6865532,tfdv,None,,,1.0,2.0
12,regression_2,1032574270.7662243,1021573991.9960134,deequ,None,31.0,31.0,1.0,1.0
13,regression_2,1032574270.7662243,1021573991.9960134,deequ,column_skipped,28.0,28.0,0.0,0.0
14,regression_2,1032574270.7662243,1021573991.9960134,gpt-4o,None,21.0,21.0,0.0,0.0
15,regression_2,1032574270.7662243,1021573991.9960134,gpt-4o,with_deequ,22.0,22.0,2.0,2.0
16,regression_2,1032574270.7662243,1021573991.9960134,gpt-4o,with_experience,20.0,20.0,0.0,0.0
17,regression_2,1032574270.7662243,1021573991.9960134,tfdv,None,,,1.0,2.0
18,regression_3,1222236209.917205,1236845854.8199615,deequ,None,31.0,31.0,1.0,1.0
19,regression_3,1222236209.917205,1236845854.8199615,deequ,column_skipped,28.0,28.0,0.0,0.0
20,regression_3,1222236209.917205,1236845854.8199615,gpt-4o,None,6.0,6.0,0.0,0.0
21,regression_3,1222236209.917205,1236845854.8199615,gpt-4o,with_deequ,12.0,12.0,0.0,0.0
22,regression_3,1222236209.917205,1236845854.8199615,gpt-4o,with_experience,10.0,10.0,0.0,0.0
23,regression_3,1222236209.917205,1236845854.8199615,tfdv,None,,,1.0,2.0
24,regression_4,1219353739.1173766,1217328417.0145833,deequ,None,31.0,31.0,1.0,1.0
25,regression_4,1219353739.1173766,1217328417.0145833,deequ,column_skipped,28.0,28.0,0.0,0.0
26,regression_4,1219353739.1173766,1217328417.0145833,gpt-4o,None,4.0,4.0,0.0,0.0
27,regression_4,1219353739.1173766,1217328417.0145833,gpt-4o,with_deequ,6.0,6.0,0.0,0.0
28,regression_4,1219353739.1173766,1217328417.0145833,gpt-4o,with_experience,10.0,10.0,0.0,0.0
29,regression_4,1219353739.1173766,1217328417.0145833,tfdv,None,,,1.0,2.0
